ÀÏÀÚ,¼Û±Ý,,ÇöÂû,,¸Å¸Å±âÁØÀ²,±âÁØÈ¯À²,´ë¹ÌÈ¯»êÀ²
,º¸³»½Ç¶§,¹ÞÀ¸½Ç¶§,»ç½Ç¶§,ÆÄ½Ç¶§,(ÀüÀÏ´ëºñ),,
2023.12.29,"1,313.10","1,287.90","1,323.25","1,277.75","1,300.50»ó½Â11.50","1,289.40",1.0000
2023.12.28,"1,301.50","1,276.50","1,311.55","1,266.45","1,289.00ÇÏ¶ô-6.00","1,294.40",1.0000
2023.12.27,"1,307.50","1,282.50","1,317.66","1,272.34","1,295.00ÇÏ¶ô-3.00","1,296.80",1.0000
2023.12.26,"1,310.50","1,285.50","1,320.71","1,275.29","1,298.00ÇÏ¶ô-3.00","1,300.70",1.0000
2023.12.22,"1,313.60","1,288.40","1,323.76","1,278.24","1,301.00»ó½Â2.00","1,303.80",1.0000
2023.12.21,"1,311.60","1,286.40","1,321.73","1,276.27","1,299.00ÇÏ¶ô-3.00","1,300.20",1.0000
2023.12.20,"1,314.60","1,289.40","1,324.78","1,279.22","1,302.00ÇÏ¶ô-3.50","1,304.70",1.0000
2023.12.19,"1,318.10","1,292.90","1,328.34","1,282.66","1,305.50»ó½Â4.00","1,298.70",1.0000
2023.12.18,"1,314.10","1,288.90","1,324.27","1,278.73","1,301.50ÇÏ¶ô-1.50","1,294.70",1.0000
2023.12.15,"1,315.60","1,290.40","1,325.80","1,280.20","1,303.00»ó½Â9.00","1,295.60",1.0000
2023.12.14,"1,306.50","1,281.50","1,316.64","1,271.36","1,294.00ÇÏ¶ô-26.00","1,316.50",1.0000
2023.12.13,"1,332.80","1,307.20","1,343.10","1,296.90","1,320.00»ó½Â2.00","1,315.70",1.0000
2023.12.12,"1,330.70","1,305.30","1,341.06","1,294.94","1,318.00ÇÏ¶ô-3.00","1,318.30",1.0000
2023.12.11,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00»ó½Â0.50","1,307.90",1.0000
2023.12.08,"1,333.30","1,307.70","1,343.60","1,297.40","1,320.50ÇÏ¶ô-0.50","1,322.70",1.0000
2023.12.07,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00»ó½Â6.00","1,312.40",1.0000
2023.12.06,"1,327.70","1,302.30","1,338.01","1,291.99","1,315.00","1,311.70",1.0000
2023.12.05,"1,327.70","1,302.30","1,338.01","1,291.99","1,315.00»ó½Â7.00","1,301.80",1.0000
2023.12.04,"1,320.60","1,295.40","1,330.89","1,285.11","1,308.00»ó½Â3.00","1,303.20",1.0000
2023.12.01,"1,317.60","1,292.40","1,327.83","1,282.17","1,305.00»ó½Â4.50","1,290.40",1.0000
2023.11.30,"1,313.10","1,287.90","1,323.25","1,277.75","1,300.50»ó½Â7.00","1,289.00",1.0000
2023.11.29,"1,306.00","1,281.00","1,316.13","1,270.87","1,293.50ÇÏ¶ô-3.50","1,294.00",1.0000
2023.11.28,"1,309.50","1,284.50","1,319.69","1,274.31","1,297.00ÇÏ¶ô-7.00","1,304.70",1.0000
2023.11.27,"1,316.60","1,291.40","1,326.82","1,281.18","1,304.00ÇÏ¶ô-3.00","1,302.10",1.0000
2023.11.24,"1,319.60","1,294.40","1,329.87","1,284.13","1,307.00»ó½Â5.00","1,298.70",1.0000
2023.11.23,"1,314.60","1,289.40","1,324.78","1,279.22","1,302.00ÇÏ¶ô-1.50","1,295.70",1.0000
2023.11.22,"1,316.10","1,290.90","1,326.31","1,280.69","1,303.50»ó½Â12.50","1,287.70",1.0000
2023.11.21,"1,303.50","1,278.50","1,313.59","1,268.41","1,291.00ÇÏ¶ô-3.00","1,292.40",1.0000
2023.11.20,"1,306.50","1,281.50","1,316.64","1,271.36","1,294.00ÇÏ¶ô-3.00","1,294.40",1.0000
2023.11.17,"1,309.50","1,284.50","1,319.69","1,274.31","1,297.00»ó½Â3.50","1,303.90",1.0000
2023.11.16,"1,306.00","1,281.00","1,316.13","1,270.87","1,293.50ÇÏ¶ô-11.00","1,302.00",1.0000
2023.11.15,"1,317.10","1,291.90","1,327.32","1,281.68","1,304.50ÇÏ¶ô-7.50","1,325.30",1.0000
2023.11.14,"1,324.70","1,299.30","1,334.96","1,289.04","1,312.00ÇÏ¶ô-14.00","1,322.70",1.0000
2023.11.13,"1,338.80","1,313.20","1,349.20","1,302.80","1,326.00»ó½Â6.50","1,316.70",1.0000
2023.11.10,"1,332.20","1,306.80","1,342.59","1,296.41","1,319.50»ó½Â9.50","1,309.00",1.0000
2023.11.09,"1,322.70","1,297.30","1,332.92","1,287.08","1,310.00ÇÏ¶ô-1.00","1,305.50",1.0000
2023.11.08,"1,323.70","1,298.30","1,333.94","1,288.06","1,311.00ÇÏ¶ô-1.00","1,306.10",1.0000
2023.11.07,"1,324.70","1,299.30","1,334.96","1,289.04","1,312.00»ó½Â14.50","1,303.20",1.0000
2023.11.06,"1,310.00","1,285.00","1,320.20","1,274.80","1,297.50ÇÏ¶ô-14.50","1,325.80",1.0000
2023.11.03,"1,324.70","1,299.30","1,334.96","1,289.04","1,312.00ÇÏ¶ô-21.50","1,343.20",1.0000
2023.11.02,"1,346.40","1,320.60","1,356.83","1,310.17","1,333.50ÇÏ¶ô-24.00","1,356.90",1.0000
2023.11.01,"1,370.60","1,344.40","1,381.25","1,333.75","1,357.50»ó½Â5.50","1,349.60",1.0000
2023.10.31,"1,365.10","1,338.90","1,375.66","1,328.34","1,352.00","1,352.80",1.0000
2023.10.30,"1,365.10","1,338.90","1,375.66","1,328.34","1,352.00ÇÏ¶ô-1.50","1,352.30",1.0000
2023.10.27,"1,366.60","1,340.40","1,377.18","1,329.82","1,353.50ÇÏ¶ô-4.50","1,357.10",1.0000
2023.10.26,"1,371.10","1,344.90","1,381.76","1,334.24","1,358.00»ó½Â6.00","1,347.00",1.0000
2023.10.25,"1,365.10","1,338.90","1,375.66","1,328.34","1,352.00»ó½Â6.50","1,343.90",1.0000
2023.10.24,"1,358.50","1,332.50","1,369.04","1,321.96","1,345.50ÇÏ¶ô-4.50","1,353.20",1.0000
2023.10.23,"1,363.00","1,337.00","1,373.62","1,326.38","1,350.00ÇÏ¶ô-3.00","1,355.10",1.0000
2023.10.20,"1,366.10","1,339.90","1,376.67","1,329.33","1,353.00ÇÏ¶ô-6.00","1,357.60",1.0000
2023.10.19,"1,372.10","1,345.90","1,382.78","1,335.22","1,359.00»ó½Â1.50","1,351.70",1.0000
2023.10.18,"1,370.60","1,344.40","1,381.25","1,333.75","1,357.50»ó½Â1.50","1,351.90",1.0000
2023.10.17,"1,369.10","1,342.90","1,379.73","1,332.27","1,356.00»ó½Â1.50","1,353.80",1.0000
2023.10.16,"1,367.60","1,341.40","1,378.20","1,330.80","1,354.50»ó½Â0.50","1,349.40",1.0000
2023.10.13,"1,367.10","1,340.90","1,377.69","1,330.31","1,354.00»ó½Â9.00","1,339.90",1.0000
2023.10.12,"1,358.00","1,332.00","1,368.53","1,321.47","1,345.00»ó½Â5.00","1,339.60",1.0000
2023.10.11,"1,352.90","1,327.10","1,363.45","1,316.55","1,340.00ÇÏ¶ô-9.00","1,348.30",1.0000
2023.10.10,"1,362.00","1,336.00","1,372.60","1,325.40","1,349.00»ó½Â2.00","1,348.30",1.0000
2023.10.06,"1,360.00","1,334.00","1,370.57","1,323.43","1,347.00ÇÏ¶ô-4.00","1,349.40",1.0000
2023.10.05,"1,364.10","1,337.90","1,374.64","1,327.36","1,351.00ÇÏ¶ô-5.00","1,360.60",1.0000
2023.10.04,"1,369.10","1,342.90","1,379.73","1,332.27","1,356.00ÇÏ¶ô-4.00","1,351.30",1.0000
2023.09.27,"1,373.10","1,346.90","1,383.80","1,336.20","1,360.00»ó½Â8.00","1,344.80",1.0000
2023.09.26,"1,365.10","1,338.90","1,375.66","1,328.34","1,352.00»ó½Â11.00","1,333.70",1.0000
2023.09.25,"1,354.00","1,328.00","1,364.46","1,317.54","1,341.00»ó½Â6.50","1,337.60",1.0000
2023.09.22,"1,347.40","1,321.60","1,357.85","1,311.15","1,334.50ÇÏ¶ô-8.50","1,339.10",1.0000
2023.09.21,"1,356.00","1,330.00","1,366.50","1,319.50","1,343.00»ó½Â16.00","1,329.30",1.0000
2023.09.20,"1,339.80","1,314.20","1,350.22","1,303.78","1,327.00ÇÏ¶ô-1.00","1,323.70",1.0000
2023.09.19,"1,340.80","1,315.20","1,351.24","1,304.76","1,328.00»ó½Â1.50","1,326.00",1.0000
2023.09.18,"1,339.30","1,313.70","1,349.71","1,303.29","1,326.50ÇÏ¶ô-3.50","1,327.60",1.0000
2023.09.15,"1,342.90","1,317.10","1,353.27","1,306.73","1,330.00»ó½Â1.50","1,326.10",1.0000
2023.09.14,"1,341.30","1,315.70","1,351.74","1,305.26","1,328.50","1,327.80",1.0000
2023.09.13,"1,341.30","1,315.70","1,351.74","1,305.26","1,328.50","1,326.10",1.0000
2023.09.12,"1,341.30","1,315.70","1,351.74","1,305.26","1,328.50ÇÏ¶ô-0.50","1,332.40",1.0000
2023.09.11,"1,341.80","1,316.20","1,352.25","1,305.75","1,329.00ÇÏ¶ô-6.00","1,333.40",1.0000
2023.09.08,"1,347.90","1,322.10","1,358.36","1,311.64","1,335.00ÇÏ¶ô-2.00","1,334.70",1.0000
2023.09.07,"1,349.90","1,324.10","1,360.39","1,313.61","1,337.00»ó½Â3.00","1,332.60",1.0000
2023.09.06,"1,346.90","1,321.10","1,357.34","1,310.66","1,334.00","1,324.30",1.0000
2023.09.05,"1,346.90","1,321.10","1,357.34","1,310.66","1,334.00»ó½Â14.00","1,319.30",1.0000
2023.09.04,"1,332.80","1,307.20","1,343.10","1,296.90","1,320.00ÇÏ¶ô-1.00","1,319.20",1.0000
2023.09.01,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00ÇÏ¶ô-3.50","1,322.30",1.0000
2023.08.31,"1,337.30","1,311.70","1,347.67","1,301.33","1,324.50»ó½Â3.00","1,321.40",1.0000
2023.08.30,"1,334.30","1,308.70","1,344.62","1,298.38","1,321.50ÇÏ¶ô-2.50","1,322.00",1.0000
2023.08.29,"1,336.80","1,311.20","1,347.17","1,300.83","1,324.00ÇÏ¶ô-2.00","1,322.50",1.0000
2023.08.28,"1,338.80","1,313.20","1,349.20","1,302.80","1,326.00»ó½Â0.50","1,326.60",1.0000
2023.08.25,"1,338.30","1,312.70","1,348.69","1,302.31","1,325.50»ó½Â1.50","1,324.00",1.0000
2023.08.24,"1,336.80","1,311.20","1,347.17","1,300.83","1,324.00ÇÏ¶ô-13.00","1,338.00",1.0000
2023.08.23,"1,349.90","1,324.10","1,360.39","1,313.61","1,337.00ÇÏ¶ô-4.00","1,338.70",1.0000
2023.08.22,"1,354.00","1,328.00","1,364.46","1,317.54","1,341.00ÇÏ¶ô-2.50","1,341.50",1.0000
2023.08.21,"1,356.50","1,330.50","1,367.01","1,319.99","1,343.50ÇÏ¶ô-0.50","1,336.90",1.0000
2023.08.18,"1,357.00","1,331.00","1,367.52","1,320.48","1,344.00»ó½Â4.50","1,341.60",1.0000
2023.08.17,"1,352.40","1,326.60","1,362.94","1,316.06","1,339.50»ó½Â0.50","1,338.30",1.0000
2023.08.16,"1,351.90","1,326.10","1,362.43","1,315.57","1,339.00»ó½Â2.50","1,331.30",1.0000
2023.08.14,"1,349.40","1,323.60","1,359.88","1,313.12","1,336.50»ó½Â7.50","1,321.10",1.0000
2023.08.11,"1,341.80","1,316.20","1,352.25","1,305.75","1,329.00»ó½Â16.00","1,317.30",1.0000
2023.08.10,"1,325.70","1,300.30","1,335.97","1,290.03","1,313.00ÇÏ¶ô-1.00","1,318.30",1.0000
2023.08.09,"1,326.70","1,301.30","1,336.99","1,291.01","1,314.00ÇÏ¶ô-6.00","1,312.60",1.0000
2023.08.08,"1,332.80","1,307.20","1,343.10","1,296.90","1,320.00»ó½Â12.50","1,304.10",1.0000
2023.08.07,"1,320.10","1,294.90","1,330.38","1,284.62","1,307.50»ó½Â2.50","1,303.90",1.0000
2023.08.04,"1,317.60","1,292.40","1,327.83","1,282.17","1,305.00»ó½Â5.00","1,298.80",1.0000
2023.08.03,"1,312.60","1,287.40","1,322.75","1,277.25","1,300.00ÇÏ¶ô-1.50","1,293.00",1.0000
2023.08.02,"1,314.10","1,288.90","1,324.27","1,278.73","1,301.50»ó½Â13.00","1,280.70",1.0000
2023.08.01,"1,300.90","1,276.10","1,311.04","1,265.96","1,288.50»ó½Â10.50","1,273.80",1.0000
2023.07.31,"1,290.30","1,265.70","1,300.36","1,255.64","1,278.00ÇÏ¶ô-4.50","1,280.00",1.0000
2023.07.28,"1,294.90","1,270.10","1,304.94","1,260.06","1,282.50»ó½Â0.20","1,273.40",1.0000
2023.07.27,"1,294.70","1,269.90","1,304.74","1,259.86","1,282.30»ó½Â6.80","1,278.70",1.0000
2023.07.26,"1,287.80","1,263.20","1,297.82","1,253.18","1,275.50ÇÏ¶ô-2.00","1,280.70",1.0000
2023.07.25,"1,289.80","1,265.20","1,299.85","1,255.15","1,277.50ÇÏ¶ô-3.50","1,283.80",1.0000
2023.07.24,"1,293.40","1,268.60","1,303.41","1,258.59","1,281.00ÇÏ¶ô-8.50","1,281.70",1.0000
2023.07.21,"1,302.00","1,277.00","1,312.06","1,266.94","1,289.50»ó½Â16.00","1,265.80",1.0000
2023.07.20,"1,285.80","1,261.20","1,295.78","1,251.22","1,273.50»ó½Â8.00","1,265.40",1.0000
2023.07.19,"1,277.70","1,253.30","1,287.64","1,243.36","1,265.50»ó½Â1.50","1,261.60",1.0000
2023.07.18,"1,276.20","1,251.80","1,286.12","1,241.88","1,264.00ÇÏ¶ô-4.00","1,266.10",1.0000
2023.07.17,"1,280.20","1,255.80","1,290.19","1,245.81","1,268.00ÇÏ¶ô-7.00","1,265.80",1.0000
2023.07.14,"1,287.30","1,262.70","1,297.31","1,252.69","1,275.00»ó½Â3.50","1,276.20",1.0000
2023.07.13,"1,283.80","1,259.20","1,293.75","1,249.25","1,271.50ÇÏ¶ô-13.50","1,291.40",1.0000
2023.07.12,"1,297.40","1,272.60","1,307.48","1,262.52","1,285.00ÇÏ¶ô-11.00","1,295.00",1.0000
2023.07.11,"1,308.50","1,283.50","1,318.68","1,273.32","1,296.00ÇÏ¶ô-12.00","1,303.80",1.0000
2023.07.10,"1,320.60","1,295.40","1,330.89","1,285.11","1,308.00»ó½Â5.00","1,307.30",1.0000
2023.07.07,"1,315.60","1,290.40","1,325.80","1,280.20","1,303.00ÇÏ¶ô-11.00","1,303.80",1.0000
2023.07.06,"1,326.70","1,301.30","1,336.99","1,291.01","1,314.00»ó½Â12.50","1,300.80",1.0000
2023.07.05,"1,314.10","1,288.90","1,324.27","1,278.73","1,301.50»ó½Â5.50","1,301.70",1.0000
2023.07.04,"1,308.50","1,283.50","1,318.68","1,273.32","1,296.00ÇÏ¶ô-10.50","1,310.00",1.0000
2023.07.03,"1,319.10","1,293.90","1,329.36","1,283.64","1,306.50ÇÏ¶ô-15.50","1,319.40",1.0000
2023.06.30,"1,334.80","1,309.20","1,345.13","1,298.87","1,322.00»ó½Â4.00","1,312.80",1.0000
2023.06.29,"1,330.70","1,305.30","1,341.06","1,294.94","1,318.00»ó½Â6.00","1,304.30",1.0000
2023.06.28,"1,324.70","1,299.30","1,334.96","1,289.04","1,312.00»ó½Â9.00","1,303.10",1.0000
2023.06.27,"1,315.60","1,290.40","1,325.80","1,280.20","1,303.00ÇÏ¶ô-6.00","1,303.80",1.0000
2023.06.26,"1,321.60","1,296.40","1,331.90","1,286.10","1,309.00ÇÏ¶ô-1.50","1,302.20",1.0000
2023.06.23,"1,323.20","1,297.80","1,333.43","1,287.57","1,310.50»ó½Â11.50","1,291.40",1.0000
2023.06.22,"1,311.60","1,286.40","1,321.73","1,276.27","1,299.00»ó½Â5.50","1,291.50",1.0000
2023.06.21,"1,306.00","1,281.00","1,316.13","1,270.87","1,293.50»ó½Â3.50","1,282.20",1.0000
2023.06.20,"1,302.50","1,277.50","1,312.57","1,267.43","1,290.00»ó½Â6.50","1,280.70",1.0000
2023.06.19,"1,295.90","1,271.10","1,305.96","1,261.04","1,283.50»ó½Â5.50","1,273.50",1.0000
2023.06.16,"1,290.30","1,265.70","1,300.36","1,255.64","1,278.00ÇÏ¶ô-2.00","1,280.10",1.0000
2023.06.15,"1,292.40","1,267.60","1,302.40","1,257.60","1,280.00»ó½Â1.00","1,275.90",1.0000
2023.06.14,"1,291.40","1,266.60","1,301.38","1,256.62","1,279.00»ó½Â5.00","1,277.50",1.0000
2023.06.13,"1,286.30","1,261.70","1,296.29","1,251.71","1,274.00ÇÏ¶ô-13.50","1,291.10",1.0000
2023.06.12,"1,299.90","1,275.10","1,310.03","1,264.97","1,287.50ÇÏ¶ô-6.50","1,294.90",1.0000
2023.06.09,"1,306.50","1,281.50","1,316.64","1,271.36","1,294.00ÇÏ¶ô-10.00","1,306.10",1.0000
2023.06.08,"1,316.60","1,291.40","1,326.82","1,281.18","1,304.00","1,300.50",1.0000
2023.06.07,"1,316.60","1,291.40","1,326.82","1,281.18","1,304.00ÇÏ¶ô-3.50","1,308.30",1.0000
2023.06.05,"1,320.10","1,294.90","1,330.38","1,284.62","1,307.50»ó½Â0.50","1,308.80",1.0000
2023.06.02,"1,319.60","1,294.40","1,329.87","1,284.13","1,307.00ÇÏ¶ô-13.50","1,320.70",1.0000
2023.06.01,"1,333.30","1,307.70","1,343.60","1,297.40","1,320.50ÇÏ¶ô-5.50","1,321.60",1.0000
2023.05.31,"1,338.80","1,313.20","1,349.20","1,302.80","1,326.00»ó½Â5.00","1,322.20",1.0000
2023.05.30,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00ÇÏ¶ô-6.00","1,325.60",1.0000
2023.05.26,"1,339.80","1,314.20","1,350.22","1,303.78","1,327.00ÇÏ¶ô-3.00","1,323.40",1.0000
2023.05.25,"1,342.90","1,317.10","1,353.27","1,306.73","1,330.00»ó½Â10.50","1,317.50",1.0000
2023.05.24,"1,332.20","1,306.80","1,342.59","1,296.41","1,319.50»ó½Â0.50","1,311.40",1.0000
2023.05.23,"1,331.70","1,306.30","1,342.08","1,295.92","1,319.00»ó½Â2.00","1,319.10",1.0000
2023.05.22,"1,329.70","1,304.30","1,340.04","1,293.96","1,317.00ÇÏ¶ô-13.00","1,331.20",1.0000
2023.05.19,"1,342.90","1,317.10","1,353.27","1,306.73","1,330.00ÇÏ¶ô-7.00","1,332.70",1.0000
2023.05.18,"1,349.90","1,324.10","1,360.39","1,313.61","1,337.00ÇÏ¶ô-4.00","1,339.40",1.0000
2023.05.17,"1,354.00","1,328.00","1,364.46","1,317.54","1,341.00»ó½Â1.00","1,336.00",1.0000
2023.05.16,"1,352.90","1,327.10","1,363.45","1,316.55","1,340.00»ó½Â2.00","1,337.80",1.0000
2023.05.15,"1,350.90","1,325.10","1,361.41","1,314.59","1,338.00ÇÏ¶ô-6.00","1,333.60",1.0000
2023.05.12,"1,357.00","1,331.00","1,367.52","1,320.48","1,344.00»ó½Â11.50","1,320.30",1.0000
2023.05.11,"1,345.40","1,319.60","1,355.81","1,309.19","1,332.50»ó½Â12.00","1,324.20",1.0000
2023.05.10,"1,333.30","1,307.70","1,343.60","1,297.40","1,320.50ÇÏ¶ô-6.00","1,323.00",1.0000
2023.05.09,"1,339.30","1,313.70","1,349.71","1,303.29","1,326.50»ó½Â3.50","1,322.70",1.0000
2023.05.08,"1,335.80","1,310.20","1,346.15","1,299.85","1,323.00ÇÏ¶ô-4.00","1,325.60",1.0000
2023.05.04,"1,339.80","1,314.20","1,350.22","1,303.78","1,327.00ÇÏ¶ô-6.50","1,339.10",1.0000
2023.05.03,"1,346.40","1,320.60","1,356.83","1,310.17","1,333.50ÇÏ¶ô-9.00","1,340.20",1.0000
2023.05.02,"1,355.50","1,329.50","1,365.99","1,319.01","1,342.50»ó½Â2.50","1,339.10",1.0000
2023.04.28,"1,352.90","1,327.10","1,363.45","1,316.55","1,340.00ÇÏ¶ô-4.00","1,339.90",1.0000
2023.04.27,"1,357.00","1,331.00","1,367.52","1,320.48","1,344.00»ó½Â4.50","1,337.30",1.0000
2023.04.26,"1,352.40","1,326.60","1,362.94","1,316.06","1,339.50ÇÏ¶ô-2.50","1,333.30",1.0000
2023.04.25,"1,355.00","1,329.00","1,365.48","1,318.52","1,342.00»ó½Â6.50","1,332.70",1.0000
2023.04.24,"1,348.40","1,322.60","1,358.87","1,312.13","1,335.50»ó½Â3.50","1,327.90",1.0000
2023.04.21,"1,344.90","1,319.10","1,355.31","1,308.69","1,332.00»ó½Â8.00","1,327.60",1.0000
2023.04.20,"1,336.80","1,311.20","1,347.17","1,300.83","1,324.00ÇÏ¶ô-8.00","1,318.80",1.0000
2023.04.19,"1,344.90","1,319.10","1,355.31","1,308.69","1,332.00»ó½Â13.00","1,318.80",1.0000
2023.04.18,"1,331.70","1,306.30","1,342.08","1,295.92","1,319.00ÇÏ¶ô-3.00","1,311.30",1.0000
2023.04.17,"1,334.80","1,309.20","1,345.13","1,298.87","1,322.00»ó½Â17.00","1,299.30",1.0000
2023.04.14,"1,317.60","1,292.40","1,327.83","1,282.17","1,305.00ÇÏ¶ô-7.50","1,318.00",1.0000
2023.04.13,"1,325.20","1,299.80","1,335.46","1,289.54","1,312.50ÇÏ¶ô-11.50","1,324.20",1.0000
2023.04.12,"1,336.80","1,311.20","1,347.17","1,300.83","1,324.00»ó½Â0.50","1,319.50",1.0000
2023.04.11,"1,336.30","1,310.70","1,346.66","1,300.34","1,323.50»ó½Â1.50","1,320.00",1.0000
2023.04.10,"1,334.80","1,309.20","1,345.13","1,298.87","1,322.00»ó½Â3.00","1,318.90",1.0000
2023.04.07,"1,331.70","1,306.30","1,342.08","1,295.92","1,319.00ÇÏ¶ô-3.00","1,318.70",1.0000
2023.04.06,"1,334.80","1,309.20","1,345.13","1,298.87","1,322.00»ó½Â7.00","1,311.90",1.0000
2023.04.05,"1,327.70","1,302.30","1,338.01","1,291.99","1,315.00ÇÏ¶ô-1.00","1,310.30",1.0000
2023.04.04,"1,328.70","1,303.30","1,339.03","1,292.97","1,316.00ÇÏ¶ô-0.50","1,316.30",1.0000
2023.04.03,"1,329.20","1,303.80","1,339.53","1,293.47","1,316.50»ó½Â11.50","1,295.40",1.0000
2023.03.31,"1,317.60","1,292.40","1,327.83","1,282.17","1,305.00»ó½Â6.50","1,303.80",1.0000
2023.03.30,"1,311.00","1,286.00","1,321.22","1,275.78","1,298.50ÇÏ¶ô-5.00","1,299.30",1.0000
2023.03.29,"1,316.10","1,290.90","1,326.31","1,280.69","1,303.50»ó½Â4.50","1,297.40",1.0000
2023.03.28,"1,311.60","1,286.40","1,321.73","1,276.27","1,299.00ÇÏ¶ô-3.00","1,300.30",1.0000
2023.03.27,"1,314.60","1,289.40","1,324.78","1,279.22","1,302.00","1,289.70",1.0000
2023.03.24,"1,314.60","1,289.40","1,324.78","1,279.22","1,302.00»ó½Â16.50","1,287.20",1.0000
2023.03.23,"1,297.90","1,273.10","1,307.99","1,263.01","1,285.50ÇÏ¶ô-22.00","1,307.10",1.0000
2023.03.22,"1,320.10","1,294.90","1,330.38","1,284.62","1,307.50ÇÏ¶ô-0.50","1,307.80",1.0000
2023.03.21,"1,320.60","1,295.40","1,330.89","1,285.11","1,308.00ÇÏ¶ô-1.50","1,308.40",1.0000
2023.03.20,"1,322.20","1,296.80","1,332.41","1,286.59","1,309.50»ó½Â0.50","1,303.60",1.0000
2023.03.17,"1,321.60","1,296.40","1,331.90","1,286.10","1,309.00ÇÏ¶ô-3.50","1,312.10",1.0000
2023.03.16,"1,325.20","1,299.80","1,335.46","1,289.54","1,312.50ÇÏ¶ô-8.50","1,302.00",1.0000
2023.03.15,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00»ó½Â9.00","1,304.90",1.0000
2023.03.14,"1,324.70","1,299.30","1,334.96","1,289.04","1,312.00»ó½Â4.00","1,307.30",1.0000
2023.03.13,"1,320.60","1,295.40","1,330.89","1,285.11","1,308.00ÇÏ¶ô-15.00","1,325.70",1.0000
2023.03.10,"1,335.80","1,310.20","1,346.15","1,299.85","1,323.00","1,319.70",1.0000
2023.03.09,"1,335.80","1,310.20","1,346.15","1,299.85","1,323.00»ó½Â2.00","1,319.50",1.0000
2023.03.08,"1,333.80","1,308.20","1,344.11","1,297.89","1,321.00»ó½Â15.00","1,299.10",1.0000
2023.03.07,"1,318.60","1,293.40","1,328.85","1,283.15","1,306.00»ó½Â5.00","1,296.70",1.0000
2023.03.06,"1,313.60","1,288.40","1,323.76","1,278.24","1,301.00ÇÏ¶ô-4.00","1,304.80",1.0000
2023.03.03,"1,317.60","1,292.40","1,327.83","1,282.17","1,305.00ÇÏ¶ô-8.00","1,310.40",1.0000
2023.03.02,"1,325.70","1,300.30","1,335.97","1,290.03","1,313.00ÇÏ¶ô-10.50","1,319.20",1.0000
2023.02.28,"1,336.30","1,310.70","1,346.66","1,300.34","1,323.50»ó½Â3.00","1,317.40",1.0000
2023.02.27,"1,333.30","1,307.70","1,343.60","1,297.40","1,320.50»ó½Â4.50","1,300.50",1.0000
2023.02.24,"1,328.70","1,303.30","1,339.03","1,292.97","1,316.00»ó½Â17.50","1,299.60",1.0000
2023.02.23,"1,311.00","1,286.00","1,321.22","1,275.78","1,298.50ÇÏ¶ô-8.00","1,303.80",1.0000
2023.02.22,"1,319.10","1,293.90","1,329.36","1,283.64","1,306.50»ó½Â6.00","1,295.80",1.0000
2023.02.21,"1,313.10","1,287.90","1,323.25","1,277.75","1,300.50»ó½Â3.00","1,295.80",1.0000
2023.02.20,"1,310.00","1,285.00","1,320.20","1,274.80","1,297.50ÇÏ¶ô-5.50","1,297.70",1.0000
2023.02.17,"1,315.60","1,290.40","1,325.80","1,280.20","1,303.00»ó½Â11.00","1,283.70",1.0000
2023.02.16,"1,304.50","1,279.50","1,314.61","1,269.39","1,292.00»ó½Â2.00","1,279.30",1.0000
2023.02.15,"1,302.50","1,277.50","1,312.57","1,267.43","1,290.00»ó½Â16.50","1,269.90",1.0000
2023.02.14,"1,285.80","1,261.20","1,295.78","1,251.22","1,273.50ÇÏ¶ô-5.50","1,274.60",1.0000
2023.02.13,"1,291.40","1,266.60","1,301.38","1,256.62","1,279.00»ó½Â10.50","1,264.30",1.0000
2023.02.10,"1,280.80","1,256.20","1,290.69","1,246.31","1,268.50»ó½Â9.00","1,263.10",1.0000
2023.02.09,"1,271.70","1,247.30","1,281.54","1,237.46","1,259.50ÇÏ¶ô-0.50","1,257.10",1.0000
2023.02.08,"1,272.20","1,247.80","1,282.05","1,237.95","1,260.00ÇÏ¶ô-2.50","1,256.00",1.0000
2023.02.07,"1,274.70","1,250.30","1,284.59","1,240.41","1,262.50»ó½Â3.00","1,247.50",1.0000
2023.02.06,"1,271.70","1,247.30","1,281.54","1,237.46","1,259.50»ó½Â15.00","1,227.20",1.0000
2023.02.03,"1,256.50","1,232.50","1,266.27","1,222.73","1,244.50»ó½Â18.50","1,219.30",1.0000
2023.02.02,"1,237.80","1,214.20","1,247.45","1,204.55","1,226.00ÇÏ¶ô-4.50","1,231.40",1.0000
2023.02.01,"1,242.40","1,218.60","1,252.03","1,208.97","1,230.50ÇÏ¶ô-8.50","1,230.80",1.0000
2023.01.31,"1,251.00","1,227.00","1,260.68","1,217.32","1,239.00»ó½Â10.00","1,228.70",1.0000
2023.01.30,"1,240.90","1,217.10","1,250.50","1,207.50","1,229.00ÇÏ¶ô-6.00","1,230.20",1.0000
2023.01.27,"1,246.90","1,223.10","1,256.61","1,213.39","1,235.00","1,231.40",1.0000
2023.01.26,"1,246.90","1,223.10","1,256.61","1,213.39","1,235.00ÇÏ¶ô-2.50","1,233.40",1.0000
